id,bodypart,equipment,gifUrl,name,target
1710,upper legs,assisted,'http://d205bpvrqc9yn1.cloudfront.net/1710.gif',assisted lying gluteus and piriformis stretch,glutes
0012,waist,assisted,'http://d205bpvrqc9yn1.cloudfront.net/0012.gif',assisted lying leg raise with lateral throw down,abs
0013,waist,assisted,'http://d205bpvrqc9yn1.cloudfront.net/0013.gif',assisted lying leg raise with throw down,abs
0014,waist,medicine ball,'http://d205bpvrqc9yn1.cloudfront.net/0014.gif',assisted motion russian twist,abs
0015,back,leverage machine,'http://d205bpvrqc9yn1.cloudfront.net/0015.gif',assisted parallel close grip pull-up,lats
0016,upper legs,assisted,'http://d205bpvrqc9yn1.cloudfront.net/0016.gif',assisted prone hamstring,hamstrings
1713,upper legs,assisted,'http://d205bpvrqc9yn1.cloudfront.net/1713.gif',assisted prone lying quads stretch,quads
1714,waist,assisted,'http://d205bpvrqc9yn1.cloudfront.net/1714.gif',assisted prone rectus femoris stretch,abs
0017,back,leverage machine,'http://d205bpvrqc9yn1.cloudfront.net/0017.gif',assisted pull-up,lats
1716,chest,assisted,'http://d205bpvrqc9yn1.cloudfront.net/1716.gif',assisted seated pectoralis major stretch with stability ball,pectorals
1712,upper legs,assisted,'http://d205bpvrqc9yn1.cloudfront.net/1712.gif',assisted side lying adductor stretch,adductors
1758,waist,assisted,'http://d205bpvrqc9yn1.cloudfront.net/1758.gif',assisted sit-up,abs
1431,back,leverage machine,'http://d205bpvrqc9yn1.cloudfront.net/1431.gif',assisted standing chin-up,lats
1432,back,leverage machine,'http://d205bpvrqc9yn1.cloudfront.net/1432.gif',assisted standing pull-up,lats
0018,upper arms,assisted,'http://d205bpvrqc9yn1.cloudfront.net/0018.gif',assisted standing triceps extension (with towel),triceps
0019,upper arms,leverage machine,'http://d205bpvrqc9yn1.cloudfront.net/0019.gif',assisted triceps dip (kneeling),triceps
2364,chest,leverage machine,'http://d205bpvrqc9yn1.cloudfront.net/2364.gif',assisted wide-grip chest dip (kneeling),pectorals
3220,cardio,body weight,'http://d205bpvrqc9yn1.cloudfront.net/3220.gif',astride jumps (male),cardiovascular system
3672,cardio,body weight,'http://d205bpvrqc9yn1.cloudfront.net/3672.gif',back and forth step,cardiovascular system
1314,back,stability ball,'http://d205bpvrqc9yn1.cloudfront.net/1314.gif',back extension on exercise ball,spine
3297,back,body weight,'http://d205bpvrqc9yn1.cloudfront.net/3297.gif',back lever,upper back
1405,back,body weight,'http://d205bpvrqc9yn1.cloudfront.net/1405.gif',back pec stretch,lats
1473,upper legs,body weight,'http://d205bpvrqc9yn1.cloudfront.net/1473.gif',backward jump,quads
0020,upper legs,body weight,'http://d205bpvrqc9yn1.cloudfront.net/0020.gif',balance board,quads
0968,upper arms,band,'http://d205bpvrqc9yn1.cloudfront.net/0968.gif',band alternating biceps curl,biceps
0969,waist,band,'http://d205bpvrqc9yn1.cloudfront.net/0969.gif',band alternating v-up,abs
0970,back,band,'http://d205bpvrqc9yn1.cloudfront.net/0970.gif',band assisted pull-up,lats
0971,waist,band,'http://d205bpvrqc9yn1.cloudfront.net/0971.gif',band assisted wheel rollerout,abs
1254,chest,band,'http://d205bpvrqc9yn1.cloudfront.net/1254.gif',band bench press,pectorals
0980,upper legs,band,'http://d205bpvrqc9yn1.cloudfront.net/0980.gif',band bent-over hip extension,glutes
0972,waist,band,'http://d205bpvrqc9yn1.cloudfront.net/0972.gif',band bicycle crunch,abs
0974,back,band,'http://d205bpvrqc9yn1.cloudfront.net/0974.gif',band close-grip pulldown,lats
0975,upper arms,band,'http://d205bpvrqc9yn1.cloudfront.net/0975.gif',band close-grip push-up,triceps
0976,upper arms,band,'http://d205bpvrqc9yn1.cloudfront.net/0976.gif',band concentration curl,biceps
3117,back,band,'http://d205bpvrqc9yn1.cloudfront.net/3117.gif',band fixed back close grip pulldown,lats
3116,back,band,'http://d205bpvrqc9yn1.cloudfront.net/3116.gif',band fixed back underhand pulldown,lats
0977,shoulders,band,'http://d205bpvrqc9yn1.cloudfront.net/0977.gif',band front lateral raise,delts
0978,shoulders,band,'http://d205bpvrqc9yn1.cloudfront.net/0978.gif',band front raise,delts
1408,upper legs,band,'http://d205bpvrqc9yn1.cloudfront.net/1408.gif',band hip lift,glutes
0979,waist,band,'http://d205bpvrqc9yn1.cloudfront.net/0979.gif',band horizontal pallof press,abs
0981,waist,band,'http://d205bpvrqc9yn1.cloudfront.net/0981.gif',band jack knife sit-up,abs
0983,back,band,'http://d205bpvrqc9yn1.cloudfront.net/0983.gif',band kneeling one arm pulldown,lats
0985,waist,band,'http://d205bpvrqc9yn1.cloudfront.net/0985.gif',band kneeling twisting crunch,abs
0984,upper legs,band,'http://d205bpvrqc9yn1.cloudfront.net/0984.gif',band lying hip internal rotation,glutes
1002,waist,band,'http://d205bpvrqc9yn1.cloudfront.net/1002.gif',band lying straight leg raise,abs
0986,upper arms,band,'http://d205bpvrqc9yn1.cloudfront.net/0986.gif',band one arm overhead biceps curl,biceps
0987,upper legs,band,'http://d205bpvrqc9yn1.cloudfront.net/0987.gif',band one arm single leg split squat,quads
0988,back,band,'http://d205bpvrqc9yn1.cloudfront.net/0988.gif',band one arm standing low row,upper back
0989,chest,band,'http://d205bpvrqc9yn1.cloudfront.net/0989.gif',band one arm twisting chest press,pectorals
0990,back,band,'http://d205bpvrqc9yn1.cloudfront.net/0990.gif',band one arm twisting seated row,upper back
0991,upper legs,band,'http://d205bpvrqc9yn1.cloudfront.net/0991.gif',band pull through,glutes
0992,waist,band,'http://d205bpvrqc9yn1.cloudfront.net/0992.gif',band push sit-up,abs
0993,shoulders,band,'http://d205bpvrqc9yn1.cloudfront.net/0993.gif',band reverse fly,delts
0994,lower arms,band,'http://d205bpvrqc9yn1.cloudfront.net/0994.gif',band reverse wrist curl,forearms
0996,upper legs,band,'http://d205bpvrqc9yn1.cloudfront.net/0996.gif',band seated hip internal rotation,glutes
1011,waist,band,'http://d205bpvrqc9yn1.cloudfront.net/1011.gif',band seated twist,abs
0997,shoulders,band,'http://d205bpvrqc9yn1.cloudfront.net/0997.gif',band shoulder press,delts
1018,back,band,'http://d205bpvrqc9yn1.cloudfront.net/1018.gif',band shrug,traps
0998,upper arms,band,'http://d205bpvrqc9yn1.cloudfront.net/0998.gif',band side triceps extension,triceps
0999,lower legs,band,'http://d205bpvrqc9yn1.cloudfront.net/0999.gif',band single leg calf raise,calves
1000,lower legs,band,'http://d205bpvrqc9yn1.cloudfront.net/1000.gif',band single leg reverse calf raise,calves
1001,upper legs,band,'http://d205bpvrqc9yn1.cloudfront.net/1001.gif',band single leg split squat,quads
1004,upper legs,band,'http://d205bpvrqc9yn1.cloudfront.net/1004.gif',band squat,glutes
1003,upper legs,band,'http://d205bpvrqc9yn1.cloudfront.net/1003.gif',band squat row,glutes
1005,waist,band,'http://d205bpvrqc9yn1.cloudfront.net/1005.gif',band standing crunch,abs
1022,shoulders,band,'http://d205bpvrqc9yn1.cloudfront.net/1022.gif',band standing rear delt row,delts
1007,waist,band,'http://d205bpvrqc9yn1.cloudfront.net/1007.gif',band standing twisting crunch,abs
1008,upper legs,band,'http://d205bpvrqc9yn1.cloudfront.net/1008.gif',band step-up,glutes
1009,upper legs,band,'http://d205bpvrqc9yn1.cloudfront.net/1009.gif',band stiff leg deadlift,glutes
1023,upper legs,band,'http://d205bpvrqc9yn1.cloudfront.net/1023.gif',band straight back stiff leg deadlift,glutes
1010,back,band,'http://d205bpvrqc9yn1.cloudfront.net/1010.gif',band straight leg deadlift,spine
1012,shoulders,band,'http://d205bpvrqc9yn1.cloudfront.net/1012.gif',band twisting overhead press,delts
1369,lower legs,band,'http://d205bpvrqc9yn1.cloudfront.net/1369.gif',band two legs calf raise - (band under both legs) v. 2,calves
1013,back,band,'http://d205bpvrqc9yn1.cloudfront.net/1013.gif',band underhand pulldown,lats
1014,waist,band,'http://d205bpvrqc9yn1.cloudfront.net/1014.gif',band v-up,abs
1015,waist,band,'http://d205bpvrqc9yn1.cloudfront.net/1015.gif',band vertical pallof press,abs
1016,lower arms,band,'http://d205bpvrqc9yn1.cloudfront.net/1016.gif',band wrist curl,forearms
1017,shoulders,band,'http://d205bpvrqc9yn1.cloudfront.net/1017.gif',band y-raise,delts
0023,upper arms,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0023.gif',barbell alternate biceps curl,biceps
0024,upper legs,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0024.gif',barbell bench front squat,quads
0025,chest,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0025.gif',barbell bench press,pectorals
0026,upper legs,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0026.gif',barbell bench squat,quads
1316,back,barbell,'http://d205bpvrqc9yn1.cloudfront.net/1316.gif',barbell bent arm pullover,lats
0027,back,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0027.gif',barbell bent over row,upper back
2407,upper arms,barbell,'http://d205bpvrqc9yn1.cloudfront.net/2407.gif',barbell biceps curl (with arm blaster),biceps
0028,upper legs,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0028.gif',barbell clean and press,quads
0029,upper legs,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0029.gif',barbell clean-grip front squat,glutes
0030,upper arms,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0030.gif',barbell close-grip bench press,triceps
0031,upper arms,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0031.gif',barbell curl,biceps
0032,upper legs,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0032.gif',barbell deadlift,glutes
0033,chest,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0033.gif',barbell decline bench press,pectorals
0034,back,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0034.gif',barbell decline bent arm pullover,lats
0035,upper arms,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0035.gif',barbell decline close grip to skull press,triceps
1255,chest,barbell,'http://d205bpvrqc9yn1.cloudfront.net/1255.gif',barbell decline pullover,pectorals
0036,chest,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0036.gif',barbell decline wide-grip press,pectorals
0037,back,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0037.gif',barbell decline wide-grip pullover,lats
0038,upper arms,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0038.gif',barbell drag curl,biceps
1370,lower legs,barbell,'http://d205bpvrqc9yn1.cloudfront.net/1370.gif',barbell floor calf raise,calves
0039,upper legs,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0039.gif',barbell front chest squat,glutes
0041,shoulders,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0041.gif',barbell front raise,delts
0040,chest,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0040.gif',barbell front raise and pullover,pectorals
0042,upper legs,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0042.gif',barbell front squat,glutes
0043,upper legs,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0043.gif',barbell full squat,glutes
1461,upper legs,barbell,'http://d205bpvrqc9yn1.cloudfront.net/1461.gif',barbell full squat (back pov),glutes
1462,upper legs,barbell,'http://d205bpvrqc9yn1.cloudfront.net/1462.gif',barbell full squat (side pov),glutes
1545,upper legs,barbell,'http://d205bpvrqc9yn1.cloudfront.net/1545.gif',barbell full zercher squat,glutes
1409,upper legs,barbell,'http://d205bpvrqc9yn1.cloudfront.net/1409.gif',barbell glute bridge,glutes
3562,upper legs,barbell,'http://d205bpvrqc9yn1.cloudfront.net/3562.gif',barbell glute bridge two legs on bench (male),glutes
0044,upper legs,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0044.gif',barbell good morning,hamstrings
0045,chest,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0045.gif',barbell guillotine bench press,pectorals
0046,upper legs,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0046.gif',barbell hack squat,glutes
1436,upper legs,barbell,'http://d205bpvrqc9yn1.cloudfront.net/1436.gif',barbell high bar squat,glutes
0047,chest,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0047.gif',barbell incline bench press,pectorals
1719,upper arms,barbell,'http://d205bpvrqc9yn1.cloudfront.net/1719.gif',barbell incline close grip bench press,triceps
0048,upper arms,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0048.gif',barbell incline reverse-grip press,triceps
0049,back,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0049.gif',barbell incline row,upper back
0050,chest,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0050.gif',barbell incline shoulder raise,serratus anterior
0051,upper legs,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0051.gif',barbell jefferson squat,glutes
0052,upper arms,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0052.gif',barbell jm bench press,triceps
0053,upper legs,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0053.gif',barbell jump squat,glutes
1410,upper legs,barbell,'http://d205bpvrqc9yn1.cloudfront.net/1410.gif',barbell lateral lunge,glutes
1435,upper legs,barbell,'http://d205bpvrqc9yn1.cloudfront.net/1435.gif',barbell low bar squat,glutes
0054,upper legs,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0054.gif',barbell lunge,glutes
1720,upper arms,barbell,'http://d205bpvrqc9yn1.cloudfront.net/1720.gif',barbell lying back of the head tricep extension,triceps
0055,upper arms,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0055.gif',barbell lying close-grip press,triceps
0056,upper arms,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0056.gif',barbell lying close-grip triceps extension,triceps
0057,upper arms,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0057.gif',barbell lying extension,triceps
0058,upper legs,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0058.gif',barbell lying lifting (on hip),glutes
0059,upper arms,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0059.gif',barbell lying preacher curl,biceps
0061,upper arms,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0061.gif',barbell lying triceps extension,triceps
0060,upper arms,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0060.gif',barbell lying triceps extension skull crusher,triceps
0063,upper legs,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0063.gif',barbell narrow stance squat,glutes
0064,back,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0064.gif',barbell one arm bent over row,upper back
0065,upper arms,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0065.gif',barbell one arm floor press,triceps
0066,upper legs,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0066.gif',barbell one arm side deadlift,glutes
0067,shoulders,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0067.gif',barbell one arm snatch,delts
0068,upper legs,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0068.gif',barbell one leg squat,quads
0069,upper legs,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0069.gif',barbell overhead squat,quads
1411,lower arms,barbell,'http://d205bpvrqc9yn1.cloudfront.net/1411.gif',barbell palms down wrist curl over a bench,forearms
1412,lower arms,barbell,'http://d205bpvrqc9yn1.cloudfront.net/1412.gif',barbell palms up wrist curl over a bench,forearms
3017,back,barbell,'http://d205bpvrqc9yn1.cloudfront.net/3017.gif',barbell pendlay row,upper back
1751,upper arms,barbell,'http://d205bpvrqc9yn1.cloudfront.net/1751.gif',barbell pin presses,triceps
0070,upper arms,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0070.gif',barbell preacher curl,biceps
0071,waist,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0071.gif',barbell press sit-up,abs
0072,upper arms,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0072.gif',barbell prone incline curl,biceps
0073,back,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0073.gif',barbell pullover,lats
0022,back,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0022.gif',barbell pullover to press,lats
0074,upper legs,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0074.gif',barbell rack pull,glutes
0075,shoulders,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0075.gif',barbell rear delt raise,delts
0076,shoulders,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0076.gif',barbell rear delt row,delts
0078,upper legs,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0078.gif',barbell rear lunge,glutes
0077,upper legs,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0077.gif',barbell rear lunge v. 2,glutes
0079,lower arms,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0079.gif',barbell revers wrist curl v. 2,forearms
2187,upper arms,barbell,'http://d205bpvrqc9yn1.cloudfront.net/2187.gif',barbell reverse close-grip bench press,triceps
0080,upper arms,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0080.gif',barbell reverse curl,biceps
0118,back,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0118.gif',barbell reverse grip bent over row,upper back
1256,chest,barbell,'http://d205bpvrqc9yn1.cloudfront.net/1256.gif',barbell reverse grip decline bench press,pectorals
1257,chest,barbell,'http://d205bpvrqc9yn1.cloudfront.net/1257.gif',barbell reverse grip incline bench press,pectorals
1317,back,barbell,'http://d205bpvrqc9yn1.cloudfront.net/1317.gif',barbell reverse grip incline bench row,upper back
1721,upper arms,barbell,'http://d205bpvrqc9yn1.cloudfront.net/1721.gif',barbell reverse grip skullcrusher,triceps
0081,upper arms,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0081.gif',barbell reverse preacher curl,biceps
0082,lower arms,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0082.gif',barbell reverse wrist curl,forearms
0084,waist,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0084.gif',barbell rollerout,abs
0083,waist,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0083.gif',barbell rollerout from bench,abs
0085,upper legs,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0085.gif',barbell romanian deadlift,glutes
0086,shoulders,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0086.gif',barbell seated behind head military press,delts
0087,shoulders,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0087.gif',barbell seated bradford rocky press,delts
0088,lower legs,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0088.gif',barbell seated calf raise,calves
1371,lower legs,barbell,'http://d205bpvrqc9yn1.cloudfront.net/1371.gif',barbell seated calf raise,calves
1718,upper arms,barbell,'http://d205bpvrqc9yn1.cloudfront.net/1718.gif',barbell seated close grip behind neck triceps extension,triceps
0089,upper arms,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0089.gif',barbell seated close-grip concentration curl,biceps
0090,upper legs,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0090.gif',barbell seated good morning,glutes
0091,shoulders,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0091.gif',barbell seated overhead press,delts
0092,upper arms,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0092.gif',barbell seated overhead triceps extension,triceps
0094,waist,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0094.gif',barbell seated twist,abs
0095,back,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0095.gif',barbell shrug,traps
0096,waist,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0096.gif',barbell side bent v. 2,abs
0098,upper legs,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0098.gif',barbell side split squat,quads
0097,upper legs,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0097.gif',barbell side split squat v. 2,quads
1756,upper legs,barbell,'http://d205bpvrqc9yn1.cloudfront.net/1756.gif',barbell single leg deadlift,glutes
0099,upper legs,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0099.gif',barbell single leg split squat,quads
2799,waist,barbell,'http://d205bpvrqc9yn1.cloudfront.net/2799.gif',barbell sitted alternate leg raise,abs
2800,waist,barbell,'http://d205bpvrqc9yn1.cloudfront.net/2800.gif',barbell sitted alternate leg raise (female),abs
0100,shoulders,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0100.gif',barbell skier,delts
0101,upper legs,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0101.gif',barbell speed squat,glutes
2810,upper legs,barbell,'http://d205bpvrqc9yn1.cloudfront.net/2810.gif',barbell split squat v. 2,quads
0102,upper legs,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0102.gif',barbell squat (on knees),quads
2798,upper legs,barbell,'http://d205bpvrqc9yn1.cloudfront.net/2798.gif',barbell squat jump step rear lunge,quads
0103,waist,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0103.gif',barbell standing ab rollerout,abs
0104,lower arms,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0104.gif',barbell standing back wrist curl,forearms
0105,shoulders,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0105.gif',barbell standing bradford press,delts
1372,lower legs,barbell,'http://d205bpvrqc9yn1.cloudfront.net/1372.gif',barbell standing calf raise,calves
0106,upper arms,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0106.gif',barbell standing close grip curl,biceps
1456,shoulders,barbell,'http://d205bpvrqc9yn1.cloudfront.net/1456.gif',barbell standing close grip military press,delts
2414,upper arms,barbell,'http://d205bpvrqc9yn1.cloudfront.net/2414.gif',barbell standing concentration curl,biceps
0107,shoulders,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0107.gif',barbell standing front raise over head,delts
0108,lower legs,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0108.gif',barbell standing leg calf raise,calves
0109,upper arms,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0109.gif',barbell standing overhead triceps extension,triceps
0110,upper arms,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0110.gif',barbell standing reverse grip curl,biceps
0111,lower legs,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0111.gif',barbell standing rocking leg calf raise,calves
0112,waist,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0112.gif',barbell standing twist,abs
1629,upper arms,barbell,'http://d205bpvrqc9yn1.cloudfront.net/1629.gif',barbell standing wide grip biceps curl,biceps
1457,shoulders,barbell,'http://d205bpvrqc9yn1.cloudfront.net/1457.gif',barbell standing wide military press,delts
0113,upper arms,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0113.gif',barbell standing wide-grip curl,biceps
0114,upper legs,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0114.gif',barbell step-up,glutes
0115,upper legs,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0115.gif',barbell stiff leg good morning,glutes
0116,upper legs,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0116.gif',barbell straight leg deadlift,hamstrings
0117,upper legs,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0117.gif',barbell sumo deadlift,glutes
3305,shoulders,barbell,'http://d205bpvrqc9yn1.cloudfront.net/3305.gif',barbell thruster,delts
0120,shoulders,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0120.gif',barbell upright row,delts
0119,shoulders,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0119.gif',barbell upright row v. 2,delts
0121,shoulders,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0121.gif',barbell upright row v. 3,delts
0122,chest,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0122.gif',barbell wide bench press,pectorals
1258,chest,barbell,'http://d205bpvrqc9yn1.cloudfront.net/1258.gif',barbell wide reverse grip bench press,pectorals
0124,upper legs,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0124.gif',barbell wide squat,quads
0123,shoulders,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0123.gif',barbell wide-grip upright row,delts
0126,lower arms,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0126.gif',barbell wrist curl,forearms
0125,lower arms,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0125.gif',barbell wrist curl v. 2,forearms
0127,upper legs,barbell,'http://d205bpvrqc9yn1.cloudfront.net/0127.gif',barbell zercher squat,glutes
3212,upper legs,body weight,'http://d205bpvrqc9yn1.cloudfront.net/3212.gif',basic toe touch (male),glutes
0128,shoulders,rope,'http://d205bpvrqc9yn1.cloudfront.net/0128.gif',battling ropes,delts
3360,cardio,body weight,'http://d205bpvrqc9yn1.cloudfront.net/3360.gif',bear crawl,cardiovascular system
1259,chest,assisted,'http://d205bpvrqc9yn1.cloudfront.net/1259.gif',behind head chest stretch,pectorals
0129,upper arms,body weight,'http://d205bpvrqc9yn1.cloudfront.net/0129.gif',bench dip (knees bent),triceps
1399,upper arms,body weight,'http://d205bpvrqc9yn1.cloudfront.net/1399.gif',bench dip on floor,triceps
0130,upper legs,body weight,'http://d205bpvrqc9yn1.cloudfront.net/0130.gif',bench hip extension,glutes
3019,back,body weight,'http://d205bpvrqc9yn1.cloudfront.net/3019.gif',bench pull-ups,lats
3639,upper legs,body weight,'http://d205bpvrqc9yn1.cloudfront.net/3639.gif',bent knee lying twist (male),glutes
1770,upper arms,body weight,'http://d205bpvrqc9yn1.cloudfront.net/1770.gif',biceps leg concentration curl,biceps
0139,upper arms,body weight,'http://d205bpvrqc9yn1.cloudfront.net/0139.gif',biceps narrow pull-ups,biceps
0140,upper arms,body weight,'http://d205bpvrqc9yn1.cloudfront.net/0140.gif',biceps pull-up,biceps
0137,upper arms,body weight,'http://d205bpvrqc9yn1.cloudfront.net/0137.gif',body-up,triceps
3543,upper legs,body weight,'http://d205bpvrqc9yn1.cloudfront.net/3543.gif',bodyweight drop jump squat,glutes
3544,waist,body weight,'http://d205bpvrqc9yn1.cloudfront.net/3544.gif',bodyweight incline side plank,abs
1771,upper arms,body weight,'http://d205bpvrqc9yn1.cloudfront.net/1771.gif',bodyweight kneeling triceps extension,triceps
1769,upper arms,body weight,'http://d205bpvrqc9yn1.cloudfront.net/1769.gif',bodyweight side lying biceps curl,biceps
